dimension,value,count,percent
party,UNA,4624,44.504
party,DEM,4596,44.235
party,REP,1119,10.77
party,LIB,47,0.452
party,GRE,4,0.038
race,WHITE,7314,70.395
race,UNDESIGNATED,1643,15.813
race,BLACK or AFRICAN AMERICAN,620,5.967
race,ASIAN,382,3.677
race,OTHER,318,3.061
race,TWO or MORE RACES,97,0.934
race,INDIAN AMERICAN or ALASKA NATIVE,16,0.154
ethnicity,NOT HISPANIC or NOT LATINO,6941,66.805
ethnicity,UNDESIGNATED,3171,30.52
ethnicity,HISPANIC or LATINO,278,2.676
gender,F,4474,43.061
gender,M,4265,41.049
gender,U,1651,15.89
age,21,623,5.996
age,22,570,5.486
age,20,567,5.457
age,19,534,5.14
age,23,453,4.36
age,24,345,3.321
age,25,342,3.292
age,18,310,2.984
age,26,298,2.868
age,27,264,2.541
age,29,231,2.223
age,28,207,1.992
age,31,197,1.896
age,30,186,1.79
age,33,167,1.607
age,32,161,1.55
age,52,156,1.501
age,34,150,1.444
age,59,146,1.405
age,60,145,1.396
age,58,145,1.396
age,56,144,1.386
age,61,140,1.347
age,62,134,1.29
age,35,130,1.251
age,53,127,1.222
age,55,124,1.193
age,36,124,1.193
age,38,124,1.193
age,51,122,1.174
age,54,119,1.145
age,57,118,1.136
age,37,117,1.126
age,43,116,1.116
age,50,115,1.107
age,42,115,1.107
age,39,113,1.088
age,47,112,1.078
age,65,111,1.068
age,48,108,1.039
age,63,104,1.001
age,64,102,0.982
age,44,102,0.982
age,45,102,0.982
age,66,100,0.962
age,67,97,0.934
age,41,96,0.924
age,46,96,0.924
age,40,95,0.914
age,68,94,0.905
age,69,94,0.905
age,70,90,0.866
age,49,84,0.808
age,75,78,0.751
age,72,74,0.712
age,74,69,0.664
age,73,69,0.664
age,76,61,0.587
age,71,60,0.577
age,77,37,0.356
age,78,32,0.308
age,81,23,0.221
age,79,21,0.202
age,83,17,0.164
age,80,14,0.135
age,82,13,0.125
age,85,12,0.115
age,88,9,0.087
age,84,8,0.077
age,90,6,0.058
age,86,5,0.048
age,89,5,0.048
age,87,4,0.038
age,92,2,0.019
age,99,2,0.019
age,91,2,0.019
age,94,1,0.01
