site_name,accepted_early_votes
LL - LAKE LYNN COMMUNITY CENTER,21401
CA - HERBERT C. YOUNG COMMUNITY CENTER,19783
NR - NORTHERN REGIONAL CENTER,19479
CS - CARY SENIOR CENTER,19273
JB - JOHN M. BROWN COMMUNITY CENTER,18909
OP - OPTIMIST PARK COMMUNITY CENTER,17409
HT - HILLTOP NEEDMORE TOWN PARK AND PRESERVE,16235
HS - HOLLY SPRINGS - HUNT COMMUNITY CENTER,13808
GREEN ROAD COMMUNITY CENTER,13436
CH - JOHN CHAVIS MEMORIAL PARK COMMUNITY CENTER,12362
AV - AVERY STREET RECREATION CENTER ANNEX,12090
TA - NCSU TALLEY STUDENT CENTER,10390
WAKE COUNTY BOARD OF ELECTIONS OFFICE,9735
WD - WENDELL COMMUNITY CENTER,9499
SOUTHEAST RALEIGH YMCA,5360
