precinct,accepted_early_votes
PRECINCT 01-23,967
PRECINCT 18-01,613
PRECINCT 01-06,446
PRECINCT 01-07,415
PRECINCT 01-31,398
PRECINCT 01-01,387
PRECINCT 01-02,382
PRECINCT 01-41,363
PRECINCT 18-06,360
PRECINCT 01-48,321
PRECINCT 01-03,254
PRECINCT 11-01,214
PRECINCT 01-16,210
PRECINCT 01-33,198
PRECINCT 01-21,196
PRECINCT 01-32,187
PRECINCT 18-04,175
PRECINCT 11-02,149
PRECINCT 01-29,144
PRECINCT 01-27,132
PRECINCT 01-14,103
PRECINCT 01-05,98
PRECINCT 01-04,93
PRECINCT 18-08,92
PRECINCT 01-49,88
PRECINCT 01-11,83
PRECINCT 18-05,67
PRECINCT 01-09,61
PRECINCT 20-14,61
PRECINCT 18-02,61
PRECINCT 01-10,60
PRECINCT 01-12,57
PRECINCT 12-10,56
PRECINCT 04-05,55
PRECINCT 05-05,52
PRECINCT 07-10,51
PRECINCT 01-36,49
PRECINCT 18-07,46
PRECINCT 20-05,43
PRECINCT 01-13,43
PRECINCT 15-02,42
PRECINCT 01-28,40
PRECINCT 02-02,40
PRECINCT 17-03,38
PRECINCT 08-03,37
PRECINCT 08-02,35
PRECINCT 05-07,34
PRECINCT 04-18,33
PRECINCT 20-08,33
PRECINCT 20-12,33
PRECINCT 20-17,32
PRECINCT 19-19,32
PRECINCT 13-10,32
PRECINCT 20-06B,31
PRECINCT 06-06,31
PRECINCT 20-10,31
PRECINCT 05-06,31
PRECINCT 04-13,31
PRECINCT 05-08,31
PRECINCT 12-01,30
PRECINCT 20-04,30
PRECINCT 08-10,29
PRECINCT 04-12,28
PRECINCT 18-03,28
PRECINCT 03-00,28
PRECINCT 04-07,27
PRECINCT 07-09,27
PRECINCT 01-20,27
PRECINCT 06-09,27
PRECINCT 15-03,26
PRECINCT 07-12,25
PRECINCT 06-07,25
PRECINCT 08-11,25
PRECINCT 07-01,25
PRECINCT 16-09,25
PRECINCT 19-21,24
PRECINCT 15-01,24
PRECINCT 04-10,23
PRECINCT 19-17,23
PRECINCT 08-08,23
PRECINCT 14-02,23
PRECINCT 20-15,22
PRECINCT 07-07,22
PRECINCT 17-13,22
PRECINCT 17-07,21
PRECINCT 10-06,21
PRECINCT 17-01,20
PRECINCT 17-04,20
PRECINCT 06-10,20
PRECINCT 20-11,20
PRECINCT 19-20,20
PRECINCT 20-16,20
PRECINCT 13-09,20
PRECINCT 04-06,19
PRECINCT 13-06,18
PRECINCT 12-07,18
PRECINCT 20-03,18
PRECINCT 07-04,18
PRECINCT 05-03,17
PRECINCT 16-07,17
PRECINCT 02-06,17
PRECINCT 07-06,17
PRECINCT 16-02,17
PRECINCT 12-11,17
PRECINCT 04-20,16
PRECINCT 02-01,16
PRECINCT 01-22,16
PRECINCT 17-05,16
PRECINCT 04-09,16
PRECINCT 20-01,16
PRECINCT 20-09,15
PRECINCT 17-11,15
PRECINCT 04-16,15
PRECINCT 19-12,15
PRECINCT 01-15,14
PRECINCT 17-12,14
PRECINCT 13-01,14
PRECINCT 02-03,14
PRECINCT 06-05,13
PRECINCT 16-11,13
PRECINCT 04-17,13
PRECINCT 01-50,13
PRECINCT 17-09,13
PRECINCT 09-03,13
PRECINCT 01-44,12
PRECINCT 01-18,12
PRECINCT 13-05,12
PRECINCT 07-02,12
PRECINCT 19-09,12
PRECINCT 19-14,12
PRECINCT 16-01,12
PRECINCT 02-04,12
PRECINCT 12-08,12
PRECINCT 08-07,12
PRECINCT 01-30,11
PRECINCT 10-05,11
PRECINCT 13-11,11
PRECINCT 08-05,11
PRECINCT 04-14,11
PRECINCT 08-09,11
PRECINCT 16-05,11
PRECINCT 13-02,10
PRECINCT 05-01,10
PRECINCT 16-04,10
PRECINCT 19-05,10
PRECINCT 04-15,10
PRECINCT 20-06A,10
PRECINCT 10-02,10
PRECINCT 08-04,10
PRECINCT 01-26,9
PRECINCT 01-19,9
PRECINCT 07-11,9
PRECINCT 01-43,9
PRECINCT 12-02,9
PRECINCT 04-02,8
PRECINCT 12-04,8
PRECINCT 16-10,8
PRECINCT 15-04,8
PRECINCT 04-03,8
PRECINCT 01-45,8
PRECINCT 01-35,8
PRECINCT 01-39,8
PRECINCT 04-08,8
PRECINCT 19-16,8
PRECINCT 01-25,8
PRECINCT 01-47,8
PRECINCT 17-02,7
PRECINCT 12-06,7
PRECINCT 19-07,7
PRECINCT 13-07,7
PRECINCT 07-13,7
PRECINCT 13-08,7
PRECINCT 01-46,6
PRECINCT 04-21,6
PRECINCT 19-15,6
PRECINCT 12-09,6
PRECINCT 01-17,6
PRECINCT 19-11,6
PRECINCT 16-03,6
PRECINCT 04-01,6
PRECINCT 06-04,6
PRECINCT 19-18,6
PRECINCT 08-06,6
PRECINCT 19-03,5
PRECINCT 09-02,5
PRECINCT 06-08,5
PRECINCT 04-04,5
PRECINCT 01-34,5
PRECINCT 01-42,5
PRECINCT 04-19,5
PRECINCT 02-05,5
PRECINCT 01-40,4
PRECINCT 01-38,4
PRECINCT 19-13,4
PRECINCT 10-03,4
PRECINCT 07-05,4
PRECINCT 07-03,4
PRECINCT 01-37,3
PRECINCT 17-10,3
PRECINCT 17-06,2
PRECINCT 01-51,2
PRECINCT 16-06,2
PRECINCT 01-07A,2
PRECINCT 09-01,2
PRECINCT 04-11,2
PRECINCT 14-01,1
Unknown,1
