precinct,election_day_voters
14-02,2532
13-10,2325
03-00,2198
19-19,2034
06-09,2033
02-02,1914
15-03,1865
19-12,1839
05-05,1793
05-07,1787
19-09,1725
20-14,1716
12-02,1684
12-04,1682
06-06,1626
12-01,1624
15-02,1618
18-02,1575
19-17,1557
18-05,1556
20-11,1502
20-12,1487
08-03,1444
19-21,1431
07-10,1417
17-03,1415
17-04,1410
08-08,1409
18-04,1395
12-06,1381
19-07,1375
12-09,1330
17-13,1329
12-10,1324
20-06A,1300
11-02,1296
18-08,1294
20-15,1289
15-01,1277
20-17,1268
08-11,1246
10-06,1245
06-10,1232
11-01,1231
20-06B,1230
05-06,1219
13-09,1211
19-20,1210
19-05,1203
01-14,1194
20-05,1193
12-08,1177
19-18,1175
04-13,1173
13-11,1171
02-01,1169
20-08,1153
20-16,1130
01-28,1129
16-09,1122
07-06,1115
13-01,1115
16-07,1102
07-07,1100
08-02,1098
09-03,1090
06-07,1086
05-08,1080
07-04,1079
18-06,1077
01-29,1076
01-11,1071
05-03,1054
19-11,1051
18-07,1046
05-01,1030
19-03,1026
01-16,1018
04-05,999
08-07,990
20-04,987
16-10,985
13-06,975
02-03,972
17-11,972
10-05,965
20-10,944
02-04,943
01-03,936
02-06,934
01-06,924
06-04,922
18-01,917
01-21,915
01-36,913
20-03,910
17-05,906
04-07,900
16-02,888
19-14,886
07-09,882
09-01,882
12-07,871
09-02,861
06-05,859
04-10,856
04-06,850
20-01,847
01-12,845
01-44,845
17-12,837
01-18,828
01-47,828
10-02,822
13-02,822
19-16,816
17-09,809
04-15,804
16-04,804
01-42,801
04-08,801
19-15,800
04-18,799
20-09,796
18-03,790
01-33,788
01-40,783
01-48,783
01-10,776
04-12,771
01-07,754
07-12,745
01-23,744
15-04,743
08-04,741
04-02,739
04-20,734
01-27,729
01-49,727
17-07,723
08-10,722
01-15,720
16-01,709
08-05,708
16-05,702
04-09,686
01-37,685
17-06,683
13-08,682
13-07,678
04-16,676
01-31,669
01-13,666
01-02,664
01-22,664
10-03,664
06-08,654
01-32,653
01-01,644
01-43,644
07-01,644
07-13,642
01-41,641
08-09,639
12-11,631
19-13,623
01-09,592
01-05,585
17-01,585
16-11,571
01-38,570
04-03,569
01-20,561
01-30,559
07-05,559
04-14,551
04-19,549
01-39,542
17-02,542
01-45,537
01-50,536
04-01,535
07-03,534
07-02,525
13-05,524
04-17,500
02-05,492
01-04,488
16-03,483
08-06,460
04-21,455
07-11,451
04-04,448
01-17,447
01-46,438
14-01,408
07-07A,389
01-26,388
01-51,379
10-01,368
16-06,345
01-35,339
01-34,336
17-10,306
01-19,302
04-11,293
01-25,126
01-07A,86
