election_dt,county_name,polling_place_id,polling_place_name,precinct_name,house_num,street_name,city,state,zip
11/08/2022,WAKE,1,BROOKS AVENUE CHURCH OF CHRIST,PRECINCT 01-01,700,BROOKS AVE,RALEIGH,NC,27607
11/08/2022,WAKE,10,WESTMINSTER PRESBYTERIAN CHURC,PRECINCT 01-10,301,WHITAKER MILL RD,RALEIGH,NC,27608
11/08/2022,WAKE,100,VANCE ELEMENTARY,PRECINCT 15-02,8808,OLD STAGE RD,RALEIGH,NC,27603
11/08/2022,WAKE,101,SPRINGFIELD BAPTIST CHURCH,PRECINCT 16-01,4309,AUBURN KNIGHTDALE RD,RALEIGH,NC,27610
11/08/2022,WAKE,102,CREECH ROAD ELEMENTARY SCHOOL,PRECINCT 16-02,450,CREECH RD,GARNER,NC,27529
11/08/2022,WAKE,103,GARNER ADVENT CHRISTIAN CHURCH,PRECINCT 16-03,1120,VANDORA SPRINGS RD,GARNER,NC,27529
11/08/2022,WAKE,104,AVERSBORO ELEMENTARY SCHOOL,PRECINCT 16-04,1605,AVERSBORO RD,GARNER,NC,27529
11/08/2022,WAKE,105,SMITH ELEMENTARY SCHOOL,PRECINCT 16-05,1101,MAXWELL DR,RALEIGH,NC,27603
11/08/2022,WAKE,106,SOUTHEAST REGIONAL LIBRARY,PRECINCT 16-06,908,SEVENTH AVE,GARNER,NC,27529
11/08/2022,WAKE,107,HEATHER HILLS CLUBHOUSE,PRECINCT 16-07,901,CLAYMORE DR,GARNER,NC,27529
11/08/2022,WAKE,108,WILBURN ELEMENTARY,PRECINCT 17-01,3707,MARSH CREEK RD,RALEIGH,NC,27604
11/08/2022,WAKE,109,KNIGHTDALE ELEMENTARY SCHOOL,PRECINCT 17-02,109,RIDGE ST,KNIGHTDALE,NC,27545
11/08/2022,WAKE,11,ROOT ELEMENTARY SCHOOL,PRECINCT 01-11,3202,NORTHAMPTON ST,RALEIGH,NC,27609
11/08/2022,WAKE,110,WILLOW OAK CLUBHOUSE,PRECINCT 17-03,4401,WILLOW OAK RD,RALEIGH,NC,27604
11/08/2022,WAKE,111,KNIGHTDALE UNITED METHODIST CH,PRECINCT 17-04,7071,FORESTVILLE RD,KNIGHTDALE,NC,27545
